part_number,description,revision,part_type,material,quantity,unit,parent_part_number,cad_file_ref,last_modified
ASM-1000,Conveyor Drive Unit Assembly,C,ASSEMBLY,N/A,1,EA,,ASM-1000.SLDASM,2026-09-04
SUB-1100,Gearbox Subassembly,B,SUBASSEMBLY,N/A,1,EA,ASM-1000,SUB-1100.SLDASM,2026-08-07
SUB-1200,Drive Roller Subassembly,A,SUBASSEMBLY,N/A,1,EA,ASM-1000,SUB-1200.SLDASM,2026-07-26
SUB-1300,Frame Subassembly,D,SUBASSEMBLY,N/A,1,EA,ASM-1000,SUB-1300.SLDASM,2026-07-14
CMP-1101,Gearbox Housing,A,COMPONENT,A5052 Aluminum,1,EA,SUB-1100,CMP-1101.SLDPRT,2026-08-17
CMP-1102,Output Shaft,B,COMPONENT,S45C Steel,1,EA,SUB-1100,CMP-1102.SLDPRT,2026-06-25
CMP-1103,Bevel Gear Set,B,COMPONENT,S45C Steel,1,EA,SUB-1100,CMP-1103.SLDPRT,2026-07-14
CMP-1201,Drive Roller Shell,C,COMPONENT,SUS304 Stainless,1,EA,SUB-1200,CMP-1201.SLDPRT,2026-08-20
CMP-1202,Roller Bearing Housing,B,COMPONENT,A5052 Aluminum,2,EA,SUB-1200,CMP-1202.SLDPRT,2026-07-10
CMP-1301,Side Rail - Left,A,COMPONENT,S355 Structural Steel,1,EA,SUB-1300,CMP-1301.SLDPRT,2026-08-08
CMP-1302,Side Rail - Right,B,COMPONENT,S355 Structural Steel,1,EA,SUB-1300,CMP-1302.SLDPRT,2026-08-05
CMP-1303,Cross Brace,C,COMPONENT,S355 Structural Steel,4,EA,SUB-1300,CMP-1303.SLDPRT,2026-06-29
CMP-1304,Mounting Plate,C,COMPONENT,S355 Structural Steel,2,EA,SUB-1300,CMP-1304.SLDPRT,2026-08-31
CMP-1304,Mounting Plate (dup),A,COMPONENT,S355 Structural Steel,1,EA,SUB-1300,,2026-09-04
CMP-9999,Sensor Bracket (orphaned),A,COMPONENT,A5052 Aluminum,1,EA,SUB-9900,,2026-09-04
